# op_idx  op_name                          input_shapes -> output_shapes
   0  PAD                             in=['1x256x256x3']  -> out=['1x258x258x3']  consts=['4x2']
   1  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   2  DEQUANTIZE                      in=[]  -> out=['24x3x3x3']  consts=['24x3x3x3']
   3  CONV_2D                         in=['1x258x258x3', '24x3x3x3', '24']  -> out=['1x128x128x24']  consts=[]
   4  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   5  DEQUANTIZE                      in=[]  -> out=['1x3x3x24']  consts=['1x3x3x24']
   6  DEPTHWISE_CONV_2D               in=['1x128x128x24', '1x3x3x24', '24']  -> out=['1x128x128x24']  consts=[]
   7  DEQUANTIZE                      in=[]  -> out=['16x1x1x24']  consts=['16x1x1x24']
   8  DEQUANTIZE                      in=[]  -> out=['16']  consts=['16']
   9  CONV_2D                         in=['1x128x128x24', '16x1x1x24', '16']  -> out=['1x128x128x16']  consts=[]
  10  DEQUANTIZE                      in=[]  -> out=['64']  consts=['64']
  11  DEQUANTIZE                      in=[]  -> out=['64x1x1x16']  consts=['64x1x1x16']
  12  CONV_2D                         in=['1x128x128x16', '64x1x1x16', '64']  -> out=['1x128x128x64']  consts=[]
  13  DEQUANTIZE                      in=[]  -> out=['16']  consts=['16']
  14  DEQUANTIZE                      in=[]  -> out=['1x3x3x16']  consts=['1x3x3x16']
  15  DEPTHWISE_CONV_2D               in=['1x128x128x16', '1x3x3x16', '16']  -> out=['1x128x128x16']  consts=[]
  16  DEQUANTIZE                      in=[]  -> out=['8x1x1x16']  consts=['8x1x1x16']
  17  DEQUANTIZE                      in=[]  -> out=['8']  consts=['8']
  18  CONV_2D                         in=['1x128x128x16', '8x1x1x16', '8']  -> out=['1x128x128x8']  consts=[]
  19  PAD                             in=['1x128x128x64']  -> out=['1x130x130x64']  consts=['4x2']
  20  DEQUANTIZE                      in=[]  -> out=['1x3x3x64']  consts=['1x3x3x64']
  21  DEQUANTIZE                      in=[]  -> out=['64']  consts=['64']
  22  DEPTHWISE_CONV_2D               in=['1x130x130x64', '1x3x3x64', '64']  -> out=['1x64x64x64']  consts=[]
  23  DEQUANTIZE                      in=[]  -> out=['24x1x1x64']  consts=['24x1x1x64']
  24  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
  25  CONV_2D                         in=['1x64x64x64', '24x1x1x64', '24']  -> out=['1x64x64x24']  consts=[]
  26  DEQUANTIZE                      in=[]  -> out=['144x1x1x24']  consts=['144x1x1x24']
  27  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  28  CONV_2D                         in=['1x64x64x24', '144x1x1x24', '144']  -> out=['1x64x64x144']  consts=[]
  29  DEQUANTIZE                      in=[]  -> out=['1x3x3x144']  consts=['1x3x3x144']
  30  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  31  DEPTHWISE_CONV_2D               in=['1x64x64x144', '1x3x3x144', '144']  -> out=['1x64x64x144']  consts=[]
  32  DEQUANTIZE                      in=[]  -> out=['24x1x1x144']  consts=['24x1x1x144']
  33  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
  34  CONV_2D                         in=['1x64x64x144', '24x1x1x144', '24']  -> out=['1x64x64x24']  consts=[]
  35  ADD                             in=['1x64x64x24', '1x64x64x24']  -> out=['1x64x64x24']  consts=[]
  36  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  37  DEQUANTIZE                      in=[]  -> out=['144x1x1x24']  consts=['144x1x1x24']
  38  CONV_2D                         in=['1x64x64x24', '144x1x1x24', '144']  -> out=['1x64x64x144']  consts=[]
  39  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
  40  DEQUANTIZE                      in=[]  -> out=['1x3x3x24']  consts=['1x3x3x24']
  41  DEPTHWISE_CONV_2D               in=['1x64x64x24', '1x3x3x24', '24']  -> out=['1x64x64x24']  consts=[]
  42  DEQUANTIZE                      in=[]  -> out=['48']  consts=['48']
  43  DEQUANTIZE                      in=[]  -> out=['48x1x1x24']  consts=['48x1x1x24']
  44  CONV_2D                         in=['1x64x64x24', '48x1x1x24', '48']  -> out=['1x64x64x48']  consts=[]
  45  PAD                             in=['1x64x64x144']  -> out=['1x68x68x144']  consts=['4x2']
  46  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  47  DEQUANTIZE                      in=[]  -> out=['1x5x5x144']  consts=['1x5x5x144']
  48  DEPTHWISE_CONV_2D               in=['1x68x68x144', '1x5x5x144', '144']  -> out=['1x32x32x144']  consts=[]
  49  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  50  DEQUANTIZE                      in=[]  -> out=['32x1x1x144']  consts=['32x1x1x144']
  51  CONV_2D                         in=['1x32x32x144', '32x1x1x144', '32']  -> out=['1x32x32x32']  consts=[]
  52  DEQUANTIZE                      in=[]  -> out=['192x1x1x32']  consts=['192x1x1x32']
  53  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  54  CONV_2D                         in=['1x32x32x32', '192x1x1x32', '192']  -> out=['1x32x32x192']  consts=[]
  55  DEQUANTIZE                      in=[]  -> out=['1x5x5x192']  consts=['1x5x5x192']
  56  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  57  DEPTHWISE_CONV_2D               in=['1x32x32x192', '1x5x5x192', '192']  -> out=['1x32x32x192']  consts=[]
  58  DEQUANTIZE                      in=[]  -> out=['32x1x1x192']  consts=['32x1x1x192']
  59  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  60  CONV_2D                         in=['1x32x32x192', '32x1x1x192', '32']  -> out=['1x32x32x32']  consts=[]
  61  ADD                             in=['1x32x32x32', '1x32x32x32']  -> out=['1x32x32x32']  consts=[]
  62  DEQUANTIZE                      in=[]  -> out=['192x1x1x32']  consts=['192x1x1x32']
  63  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  64  CONV_2D                         in=['1x32x32x32', '192x1x1x32', '192']  -> out=['1x32x32x192']  consts=[]
  65  DEQUANTIZE                      in=[]  -> out=['1x3x3x32']  consts=['1x3x3x32']
  66  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  67  DEPTHWISE_CONV_2D               in=['1x32x32x32', '1x3x3x32', '32']  -> out=['1x32x32x32']  consts=[]
  68  DEQUANTIZE                      in=[]  -> out=['48x1x1x32']  consts=['48x1x1x32']
  69  DEQUANTIZE                      in=[]  -> out=['48']  consts=['48']
  70  CONV_2D                         in=['1x32x32x32', '48x1x1x32', '48']  -> out=['1x32x32x48']  consts=[]
  71  PAD                             in=['1x32x32x192']  -> out=['1x34x34x192']  consts=['4x2']
  72  DEQUANTIZE                      in=[]  -> out=['1x3x3x192']  consts=['1x3x3x192']
  73  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  74  DEPTHWISE_CONV_2D               in=['1x34x34x192', '1x3x3x192', '192']  -> out=['1x16x16x192']  consts=[]
  75  DEQUANTIZE                      in=[]  -> out=['64']  consts=['64']
  76  DEQUANTIZE                      in=[]  -> out=['64x1x1x192']  consts=['64x1x1x192']
  77  CONV_2D                         in=['1x16x16x192', '64x1x1x192', '64']  -> out=['1x16x16x64']  consts=[]
  78  DEQUANTIZE                      in=[]  -> out=['384']  consts=['384']
  79  DEQUANTIZE                      in=[]  -> out=['384x1x1x64']  consts=['384x1x1x64']
  80  CONV_2D                         in=['1x16x16x64', '384x1x1x64', '384']  -> out=['1x16x16x384']  consts=[]
  81  DEQUANTIZE                      in=[]  -> out=['384']  consts=['384']
  82  DEQUANTIZE                      in=[]  -> out=['1x3x3x384']  consts=['1x3x3x384']
  83  DEPTHWISE_CONV_2D               in=['1x16x16x384', '1x3x3x384', '384']  -> out=['1x16x16x384']  consts=[]
  84  DEQUANTIZE                      in=[]  -> out=['64']  consts=['64']
  85  DEQUANTIZE                      in=[]  -> out=['64x1x1x384']  consts=['64x1x1x384']
  86  CONV_2D                         in=['1x16x16x384', '64x1x1x384', '64']  -> out=['1x16x16x64']  consts=[]
  87  ADD                             in=['1x16x16x64', '1x16x16x64']  -> out=['1x16x16x64']  consts=[]
  88  DEQUANTIZE                      in=[]  -> out=['384']  consts=['384']
  89  DEQUANTIZE                      in=[]  -> out=['384x1x1x64']  consts=['384x1x1x64']
  90  CONV_2D                         in=['1x16x16x64', '384x1x1x64', '384']  -> out=['1x16x16x384']  consts=[]
  91  DEQUANTIZE                      in=[]  -> out=['1x3x3x384']  consts=['1x3x3x384']
  92  DEQUANTIZE                      in=[]  -> out=['384']  consts=['384']
  93  DEPTHWISE_CONV_2D               in=['1x16x16x384', '1x3x3x384', '384']  -> out=['1x16x16x384']  consts=[]
  94  DEQUANTIZE                      in=[]  -> out=['64']  consts=['64']
  95  DEQUANTIZE                      in=[]  -> out=['64x1x1x384']  consts=['64x1x1x384']
  96  CONV_2D                         in=['1x16x16x384', '64x1x1x384', '64']  -> out=['1x16x16x64']  consts=[]
  97  ADD                             in=['1x16x16x64', '1x16x16x64']  -> out=['1x16x16x64']  consts=[]
  98  DEQUANTIZE                      in=[]  -> out=['384x1x1x64']  consts=['384x1x1x64']
  99  DEQUANTIZE                      in=[]  -> out=['384']  consts=['384']
 100  CONV_2D                         in=['1x16x16x64', '384x1x1x64', '384']  -> out=['1x16x16x384']  consts=[]
 101  DEQUANTIZE                      in=[]  -> out=['1x5x5x384']  consts=['1x5x5x384']
 102  DEQUANTIZE                      in=[]  -> out=['384']  consts=['384']
