# op_idx  op_name                          input_shapes -> output_shapes
   0  PAD                             in=['1x224x224x3']  -> out=['1x226x226x3']  consts=['4x2']
   1  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   2  DEQUANTIZE                      in=[]  -> out=['24x3x3x3']  consts=['24x3x3x3']
   3  CONV_2D                         in=['1x226x226x3', '24x3x3x3', '24']  -> out=['1x112x112x24']  consts=[]
   4  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   5  DEQUANTIZE                      in=[]  -> out=['1x3x3x24']  consts=['1x3x3x24']
   6  DEPTHWISE_CONV_2D               in=['1x112x112x24', '1x3x3x24', '24']  -> out=['1x112x112x24']  consts=[]
   7  DEQUANTIZE                      in=[]  -> out=['16']  consts=['16']
   8  DENSIFY                         in=[]  -> out=['16x1x1x24']  consts=['16x1x1x24']
   9  DEQUANTIZE                      in=['16x1x1x24']  -> out=['16x1x1x24']  consts=[]
  10  CONV_2D                         in=['1x112x112x24', '16x1x1x24', '16']  -> out=['1x112x112x16']  consts=[]
  11  DENSIFY                         in=[]  -> out=['64x1x1x16']  consts=['64x1x1x16']
  12  DEQUANTIZE                      in=['64x1x1x16']  -> out=['64x1x1x16']  consts=[]
  13  DEQUANTIZE                      in=[]  -> out=['64']  consts=['64']
  14  CONV_2D                         in=['1x112x112x16', '64x1x1x16', '64']  -> out=['1x112x112x64']  consts=[]
  15  PAD                             in=['1x112x112x64']  -> out=['1x114x114x64']  consts=['4x2']
  16  DEQUANTIZE                      in=[]  -> out=['1x3x3x64']  consts=['1x3x3x64']
  17  DEQUANTIZE                      in=[]  -> out=['64']  consts=['64']
  18  DEPTHWISE_CONV_2D               in=['1x114x114x64', '1x3x3x64', '64']  -> out=['1x56x56x64']  consts=[]
  19  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
  20  DENSIFY                         in=[]  -> out=['24x1x1x64']  consts=['24x1x1x64']
  21  DEQUANTIZE                      in=['24x1x1x64']  -> out=['24x1x1x64']  consts=[]
  22  CONV_2D                         in=['1x56x56x64', '24x1x1x64', '24']  -> out=['1x56x56x24']  consts=[]
  23  DENSIFY                         in=[]  -> out=['144x1x1x24']  consts=['144x1x1x24']
  24  DEQUANTIZE                      in=['144x1x1x24']  -> out=['144x1x1x24']  consts=[]
  25  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  26  CONV_2D                         in=['1x56x56x24', '144x1x1x24', '144']  -> out=['1x56x56x144']  consts=[]
  27  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  28  DEQUANTIZE                      in=[]  -> out=['1x3x3x144']  consts=['1x3x3x144']
  29  DEPTHWISE_CONV_2D               in=['1x56x56x144', '1x3x3x144', '144']  -> out=['1x56x56x144']  consts=[]
  30  DENSIFY                         in=[]  -> out=['24x1x1x144']  consts=['24x1x1x144']
  31  DEQUANTIZE                      in=['24x1x1x144']  -> out=['24x1x1x144']  consts=[]
  32  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
  33  CONV_2D                         in=['1x56x56x144', '24x1x1x144', '24']  -> out=['1x56x56x24']  consts=[]
  34  ADD                             in=['1x56x56x24', '1x56x56x24']  -> out=['1x56x56x24']  consts=[]
  35  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  36  DENSIFY                         in=[]  -> out=['144x1x1x24']  consts=['144x1x1x24']
  37  DEQUANTIZE                      in=['144x1x1x24']  -> out=['144x1x1x24']  consts=[]
  38  CONV_2D                         in=['1x56x56x24', '144x1x1x24', '144']  -> out=['1x56x56x144']  consts=[]
  39  PAD                             in=['1x56x56x144']  -> out=['1x60x60x144']  consts=['4x2']
  40  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  41  DEQUANTIZE                      in=[]  -> out=['1x5x5x144']  consts=['1x5x5x144']
  42  DEPTHWISE_CONV_2D               in=['1x60x60x144', '1x5x5x144', '144']  -> out=['1x28x28x144']  consts=[]
  43  DENSIFY                         in=[]  -> out=['40x1x1x144']  consts=['40x1x1x144']
  44  DEQUANTIZE                      in=['40x1x1x144']  -> out=['40x1x1x144']  consts=[]
  45  DEQUANTIZE                      in=[]  -> out=['40']  consts=['40']
  46  CONV_2D                         in=['1x28x28x144', '40x1x1x144', '40']  -> out=['1x28x28x40']  consts=[]
  47  DENSIFY                         in=[]  -> out=['240x1x1x40']  consts=['240x1x1x40']
  48  DEQUANTIZE                      in=['240x1x1x40']  -> out=['240x1x1x40']  consts=[]
  49  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
  50  CONV_2D                         in=['1x28x28x40', '240x1x1x40', '240']  -> out=['1x28x28x240']  consts=[]
  51  DEQUANTIZE                      in=[]  -> out=['1x5x5x240']  consts=['1x5x5x240']
  52  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
  53  DEPTHWISE_CONV_2D               in=['1x28x28x240', '1x5x5x240', '240']  -> out=['1x28x28x240']  consts=[]
  54  DEQUANTIZE                      in=[]  -> out=['40']  consts=['40']
  55  DENSIFY                         in=[]  -> out=['40x1x1x240']  consts=['40x1x1x240']
  56  DEQUANTIZE                      in=['40x1x1x240']  -> out=['40x1x1x240']  consts=[]
  57  CONV_2D                         in=['1x28x28x240', '40x1x1x240', '40']  -> out=['1x28x28x40']  consts=[]
  58  ADD                             in=['1x28x28x40', '1x28x28x40']  -> out=['1x28x28x40']  consts=[]
  59  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
  60  DENSIFY                         in=[]  -> out=['240x1x1x40']  consts=['240x1x1x40']
  61  DEQUANTIZE                      in=['240x1x1x40']  -> out=['240x1x1x40']  consts=[]
  62  CONV_2D                         in=['1x28x28x40', '240x1x1x40', '240']  -> out=['1x28x28x240']  consts=[]
  63  DEQUANTIZE                      in=[]  -> out=['1x3x3x40']  consts=['1x3x3x40']
  64  DEQUANTIZE                      in=[]  -> out=['40']  consts=['40']
  65  DEPTHWISE_CONV_2D               in=['1x28x28x40', '1x3x3x40', '40']  -> out=['1x28x28x40']  consts=[]
  66  DENSIFY                         in=[]  -> out=['96x1x1x40']  consts=['96x1x1x40']
  67  DEQUANTIZE                      in=['96x1x1x40']  -> out=['96x1x1x40']  consts=[]
  68  DEQUANTIZE                      in=[]  -> out=['96']  consts=['96']
  69  CONV_2D                         in=['1x28x28x40', '96x1x1x40', '96']  -> out=['1x28x28x96']  consts=[]
  70  PAD                             in=['1x28x28x240']  -> out=['1x30x30x240']  consts=['4x2']
  71  DEQUANTIZE                      in=[]  -> out=['1x3x3x240']  consts=['1x3x3x240']
  72  DEQUANTIZE                      in=[]  -> out=['240']  consts=['240']
  73  DEPTHWISE_CONV_2D               in=['1x30x30x240', '1x3x3x240', '240']  -> out=['1x14x14x240']  consts=[]
  74  DEQUANTIZE                      in=[]  -> out=['80']  consts=['80']
  75  DENSIFY                         in=[]  -> out=['80x1x1x240']  consts=['80x1x1x240']
  76  DEQUANTIZE                      in=['80x1x1x240']  -> out=['80x1x1x240']  consts=[]
  77  CONV_2D                         in=['1x14x14x240', '80x1x1x240', '80']  -> out=['1x14x14x80']  consts=[]
  78  DEQUANTIZE                      in=[]  -> out=['480']  consts=['480']
  79  DENSIFY                         in=[]  -> out=['480x1x1x80']  consts=['480x1x1x80']
  80  DEQUANTIZE                      in=['480x1x1x80']  -> out=['480x1x1x80']  consts=[]
  81  CONV_2D                         in=['1x14x14x80', '480x1x1x80', '480']  -> out=['1x14x14x480']  consts=[]
  82  DEQUANTIZE                      in=[]  -> out=['480']  consts=['480']
  83  DEQUANTIZE                      in=[]  -> out=['1x3x3x480']  consts=['1x3x3x480']
  84  DEPTHWISE_CONV_2D               in=['1x14x14x480', '1x3x3x480', '480']  -> out=['1x14x14x480']  consts=[]
  85  DENSIFY                         in=[]  -> out=['80x1x1x480']  consts=['80x1x1x480']
  86  DEQUANTIZE                      in=['80x1x1x480']  -> out=['80x1x1x480']  consts=[]
  87  DEQUANTIZE                      in=[]  -> out=['80']  consts=['80']
  88  CONV_2D                         in=['1x14x14x480', '80x1x1x480', '80']  -> out=['1x14x14x80']  consts=[]
  89  ADD                             in=['1x14x14x80', '1x14x14x80']  -> out=['1x14x14x80']  consts=[]
  90  DEQUANTIZE                      in=[]  -> out=['480']  consts=['480']
  91  DENSIFY                         in=[]  -> out=['480x1x1x80']  consts=['480x1x1x80']
  92  DEQUANTIZE                      in=['480x1x1x80']  -> out=['480x1x1x80']  consts=[]
  93  CONV_2D                         in=['1x14x14x80', '480x1x1x80', '480']  -> out=['1x14x14x480']  consts=[]
  94  DEQUANTIZE                      in=[]  -> out=['1x3x3x480']  consts=['1x3x3x480']
  95  DEQUANTIZE                      in=[]  -> out=['480']  consts=['480']
  96  DEPTHWISE_CONV_2D               in=['1x14x14x480', '1x3x3x480', '480']  -> out=['1x14x14x480']  consts=[]
  97  DENSIFY                         in=[]  -> out=['80x1x1x480']  consts=['80x1x1x480']
  98  DEQUANTIZE                      in=['80x1x1x480']  -> out=['80x1x1x480']  consts=[]
  99  DEQUANTIZE                      in=[]  -> out=['80']  consts=['80']
 100  CONV_2D                         in=['1x14x14x480', '80x1x1x480', '80']  -> out=['1x14x14x80']  consts=[]
 101  ADD                             in=['1x14x14x80', '1x14x14x80']  -> out=['1x14x14x80']  consts=[]
 102  DENSIFY                         in=[]  -> out=['480x1x1x80']  consts=['480x1x1x80']
 103  DEQUANTIZE                      in=['480x1x1x80']  -> out=['480x1x1x80']  consts=[]
