# op_idx  op_name                          input_shapes -> output_shapes
   0  PAD                             in=['1x256x256x3']  -> out=['1x258x258x3']  consts=['4x2']
   1  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   2  DEQUANTIZE                      in=[]  -> out=['24x3x3x3']  consts=['24x3x3x3']
   3  CONV_2D                         in=['1x258x258x3', '24x3x3x3', '24']  -> out=['1x128x128x24']  consts=[]
   4  DEQUANTIZE                      in=[]  -> out=['1x3x3x24']  consts=['1x3x3x24']
   5  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   6  DEPTHWISE_CONV_2D               in=['1x128x128x24', '1x3x3x24', '24']  -> out=['1x128x128x24']  consts=[]
   7  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   8  DEQUANTIZE                      in=[]  -> out=['24x1x1x24']  consts=['24x1x1x24']
   9  CONV_2D                         in=['1x128x128x24', '24x1x1x24', '24']  -> out=['1x128x128x24']  consts=[]
  10  DEQUANTIZE                      in=[]  -> out=['96']  consts=['96']
  11  DEQUANTIZE                      in=[]  -> out=['96x1x1x24']  consts=['96x1x1x24']
  12  CONV_2D                         in=['1x128x128x24', '96x1x1x24', '96']  -> out=['1x128x128x96']  consts=[]
  13  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
  14  DEQUANTIZE                      in=[]  -> out=['1x3x3x24']  consts=['1x3x3x24']
  15  DEPTHWISE_CONV_2D               in=['1x128x128x24', '1x3x3x24', '24']  -> out=['1x128x128x24']  consts=[]
  16  DEQUANTIZE                      in=[]  -> out=['8x1x1x24']  consts=['8x1x1x24']
  17  DEQUANTIZE                      in=[]  -> out=['8']  consts=['8']
  18  CONV_2D                         in=['1x128x128x24', '8x1x1x24', '8']  -> out=['1x128x128x8']  consts=[]
  19  PAD                             in=['1x128x128x96']  -> out=['1x130x130x96']  consts=['4x2']
  20  DEQUANTIZE                      in=[]  -> out=['96']  consts=['96']
  21  DEQUANTIZE                      in=[]  -> out=['1x3x3x96']  consts=['1x3x3x96']
  22  DEPTHWISE_CONV_2D               in=['1x130x130x96', '1x3x3x96', '96']  -> out=['1x64x64x96']  consts=[]
  23  DEQUANTIZE                      in=[]  -> out=['32x1x1x96']  consts=['32x1x1x96']
  24  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  25  CONV_2D                         in=['1x64x64x96', '32x1x1x96', '32']  -> out=['1x64x64x32']  consts=[]
  26  DEQUANTIZE                      in=[]  -> out=['128x1x1x32']  consts=['128x1x1x32']
  27  DEQUANTIZE                      in=[]  -> out=['128']  consts=['128']
  28  CONV_2D                         in=['1x64x64x32', '128x1x1x32', '128']  -> out=['1x64x64x128']  consts=[]
  29  DEQUANTIZE                      in=[]  -> out=['1x3x3x128']  consts=['1x3x3x128']
  30  DEQUANTIZE                      in=[]  -> out=['128']  consts=['128']
  31  DEPTHWISE_CONV_2D               in=['1x64x64x128', '1x3x3x128', '128']  -> out=['1x64x64x128']  consts=[]
  32  DEQUANTIZE                      in=[]  -> out=['32x1x1x128']  consts=['32x1x1x128']
  33  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  34  CONV_2D                         in=['1x64x64x128', '32x1x1x128', '32']  -> out=['1x64x64x32']  consts=[]
  35  ADD                             in=['1x64x64x32', '1x64x64x32']  -> out=['1x64x64x32']  consts=[]
  36  DEQUANTIZE                      in=[]  -> out=['192x1x1x32']  consts=['192x1x1x32']
  37  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  38  CONV_2D                         in=['1x64x64x32', '192x1x1x32', '192']  -> out=['1x64x64x192']  consts=[]
  39  DEQUANTIZE                      in=[]  -> out=['1x3x3x192']  consts=['1x3x3x192']
  40  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  41  DEPTHWISE_CONV_2D               in=['1x64x64x192', '1x3x3x192', '192']  -> out=['1x64x64x192']  consts=[]
  42  DEQUANTIZE                      in=[]  -> out=['32x1x1x192']  consts=['32x1x1x192']
  43  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  44  CONV_2D                         in=['1x64x64x192', '32x1x1x192', '32']  -> out=['1x64x64x32']  consts=[]
  45  ADD                             in=['1x64x64x32', '1x64x64x32']  -> out=['1x64x64x32']  consts=[]
  46  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  47  DEQUANTIZE                      in=[]  -> out=['192x1x1x32']  consts=['192x1x1x32']
  48  CONV_2D                         in=['1x64x64x32', '192x1x1x32', '192']  -> out=['1x64x64x192']  consts=[]
  49  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  50  DEQUANTIZE                      in=[]  -> out=['1x3x3x192']  consts=['1x3x3x192']
  51  DEPTHWISE_CONV_2D               in=['1x64x64x192', '1x3x3x192', '192']  -> out=['1x64x64x192']  consts=[]
  52  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  53  DEQUANTIZE                      in=[]  -> out=['32x1x1x192']  consts=['32x1x1x192']
  54  CONV_2D                         in=['1x64x64x192', '32x1x1x192', '32']  -> out=['1x64x64x32']  consts=[]
  55  ADD                             in=['1x64x64x32', '1x64x64x32']  -> out=['1x64x64x32']  consts=[]
  56  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  57  DEQUANTIZE                      in=[]  -> out=['192x1x1x32']  consts=['192x1x1x32']
  58  CONV_2D                         in=['1x64x64x32', '192x1x1x32', '192']  -> out=['1x64x64x192']  consts=[]
  59  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  60  DEQUANTIZE                      in=[]  -> out=['1x3x3x32']  consts=['1x3x3x32']
  61  DEPTHWISE_CONV_2D               in=['1x64x64x32', '1x3x3x32', '32']  -> out=['1x64x64x32']  consts=[]
  62  DEQUANTIZE                      in=[]  -> out=['48x1x1x32']  consts=['48x1x1x32']
  63  DEQUANTIZE                      in=[]  -> out=['48']  consts=['48']
  64  CONV_2D                         in=['1x64x64x32', '48x1x1x32', '48']  -> out=['1x64x64x48']  consts=[]
  65  PAD                             in=['1x64x64x192']  -> out=['1x68x68x192']  consts=['4x2']
  66  DEQUANTIZE                      in=[]  -> out=['1x5x5x192']  consts=['1x5x5x192']
  67  DEQUANTIZE                      in=[]  -> out=['192']  consts=['192']
  68  DEPTHWISE_CONV_2D               in=['1x68x68x192', '1x5x5x192', '192']  -> out=['1x32x32x192']  consts=[]
  69  DEQUANTIZE                      in=[]  -> out=['56x1x1x192']  consts=['56x1x1x192']
  70  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
  71  CONV_2D                         in=['1x32x32x192', '56x1x1x192', '56']  -> out=['1x32x32x56']  consts=[]
  72  DEQUANTIZE                      in=[]  -> out=['336x1x1x56']  consts=['336x1x1x56']
  73  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
  74  CONV_2D                         in=['1x32x32x56', '336x1x1x56', '336']  -> out=['1x32x32x336']  consts=[]
  75  DEQUANTIZE                      in=[]  -> out=['1x5x5x336']  consts=['1x5x5x336']
  76  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
  77  DEPTHWISE_CONV_2D               in=['1x32x32x336', '1x5x5x336', '336']  -> out=['1x32x32x336']  consts=[]
  78  DEQUANTIZE                      in=[]  -> out=['56x1x1x336']  consts=['56x1x1x336']
  79  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
  80  CONV_2D                         in=['1x32x32x336', '56x1x1x336', '56']  -> out=['1x32x32x56']  consts=[]
  81  ADD                             in=['1x32x32x56', '1x32x32x56']  -> out=['1x32x32x56']  consts=[]
  82  DEQUANTIZE                      in=[]  -> out=['336x1x1x56']  consts=['336x1x1x56']
  83  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
  84  CONV_2D                         in=['1x32x32x56', '336x1x1x56', '336']  -> out=['1x32x32x336']  consts=[]
  85  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
  86  DEQUANTIZE                      in=[]  -> out=['1x5x5x336']  consts=['1x5x5x336']
  87  DEPTHWISE_CONV_2D               in=['1x32x32x336', '1x5x5x336', '336']  -> out=['1x32x32x336']  consts=[]
  88  DEQUANTIZE                      in=[]  -> out=['56x1x1x336']  consts=['56x1x1x336']
  89  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
  90  CONV_2D                         in=['1x32x32x336', '56x1x1x336', '56']  -> out=['1x32x32x56']  consts=[]
  91  ADD                             in=['1x32x32x56', '1x32x32x56']  -> out=['1x32x32x56']  consts=[]
  92  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
  93  DEQUANTIZE                      in=[]  -> out=['336x1x1x56']  consts=['336x1x1x56']
  94  CONV_2D                         in=['1x32x32x56', '336x1x1x56', '336']  -> out=['1x32x32x336']  consts=[]
  95  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
  96  DEQUANTIZE                      in=[]  -> out=['1x5x5x336']  consts=['1x5x5x336']
  97  DEPTHWISE_CONV_2D               in=['1x32x32x336', '1x5x5x336', '336']  -> out=['1x32x32x336']  consts=[]
  98  DEQUANTIZE                      in=[]  -> out=['56']  consts=['56']
  99  DEQUANTIZE                      in=[]  -> out=['56x1x1x336']  consts=['56x1x1x336']
 100  CONV_2D                         in=['1x32x32x336', '56x1x1x336', '56']  -> out=['1x32x32x56']  consts=[]
 101  ADD                             in=['1x32x32x56', '1x32x32x56']  -> out=['1x32x32x56']  consts=[]
 102  DEQUANTIZE                      in=[]  -> out=['336']  consts=['336']
