# op_idx  op_name                          input_shapes -> output_shapes
   0  PAD                             in=['1x256x256x3']  -> out=['1x258x258x3']  consts=['4x2']
   1  DEQUANTIZE                      in=[]  -> out=['24x3x3x3']  consts=['24x3x3x3']
   2  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   3  CONV_2D                         in=['1x258x258x3', '24x3x3x3', '24']  -> out=['1x128x128x24']  consts=[]
   4  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
   5  DEQUANTIZE                      in=[]  -> out=['1x3x3x24']  consts=['1x3x3x24']
   6  DEPTHWISE_CONV_2D               in=['1x128x128x24', '1x3x3x24', '24']  -> out=['1x128x128x24']  consts=[]
   7  DEQUANTIZE                      in=[]  -> out=['8']  consts=['8']
   8  DEQUANTIZE                      in=[]  -> out=['8x1x1x24']  consts=['8x1x1x24']
   9  CONV_2D                         in=['1x128x128x24', '8x1x1x24', '8']  -> out=['1x128x128x8']  consts=[]
  10  DEQUANTIZE                      in=[]  -> out=['32x1x1x8']  consts=['32x1x1x8']
  11  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  12  CONV_2D                         in=['1x128x128x8', '32x1x1x8', '32']  -> out=['1x128x128x32']  consts=[]
  13  DEQUANTIZE                      in=[]  -> out=['8']  consts=['8']
  14  DEQUANTIZE                      in=[]  -> out=['1x3x3x8']  consts=['1x3x3x8']
  15  DEPTHWISE_CONV_2D               in=['1x128x128x8', '1x3x3x8', '8']  -> out=['1x128x128x8']  consts=[]
  16  DEQUANTIZE                      in=[]  -> out=['8']  consts=['8']
  17  DEQUANTIZE                      in=[]  -> out=['8x1x1x8']  consts=['8x1x1x8']
  18  CONV_2D                         in=['1x128x128x8', '8x1x1x8', '8']  -> out=['1x128x128x8']  consts=[]
  19  ADD                             in=['1x128x128x8', '1x128x128x8']  -> out=['1x128x128x8']  consts=[]
  20  PAD                             in=['1x128x128x32']  -> out=['1x130x130x32']  consts=['4x2']
  21  DEQUANTIZE                      in=[]  -> out=['1x3x3x32']  consts=['1x3x3x32']
  22  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  23  DEPTHWISE_CONV_2D               in=['1x130x130x32', '1x3x3x32', '32']  -> out=['1x64x64x32']  consts=[]
  24  DEQUANTIZE                      in=[]  -> out=['16x1x1x32']  consts=['16x1x1x32']
  25  DEQUANTIZE                      in=[]  -> out=['16']  consts=['16']
  26  CONV_2D                         in=['1x64x64x32', '16x1x1x32', '16']  -> out=['1x64x64x16']  consts=[]
  27  DEQUANTIZE                      in=[]  -> out=['96']  consts=['96']
  28  DEQUANTIZE                      in=[]  -> out=['96x1x1x16']  consts=['96x1x1x16']
  29  CONV_2D                         in=['1x64x64x16', '96x1x1x16', '96']  -> out=['1x64x64x96']  consts=[]
  30  DEQUANTIZE                      in=[]  -> out=['96']  consts=['96']
  31  DEQUANTIZE                      in=[]  -> out=['1x3x3x96']  consts=['1x3x3x96']
  32  DEPTHWISE_CONV_2D               in=['1x64x64x96', '1x3x3x96', '96']  -> out=['1x64x64x96']  consts=[]
  33  DEQUANTIZE                      in=[]  -> out=['16x1x1x96']  consts=['16x1x1x96']
  34  DEQUANTIZE                      in=[]  -> out=['16']  consts=['16']
  35  CONV_2D                         in=['1x64x64x96', '16x1x1x96', '16']  -> out=['1x64x64x16']  consts=[]
  36  ADD                             in=['1x64x64x16', '1x64x64x16']  -> out=['1x64x64x16']  consts=[]
  37  DEQUANTIZE                      in=[]  -> out=['96']  consts=['96']
  38  DEQUANTIZE                      in=[]  -> out=['96x1x1x16']  consts=['96x1x1x16']
  39  CONV_2D                         in=['1x64x64x16', '96x1x1x16', '96']  -> out=['1x64x64x96']  consts=[]
  40  DEQUANTIZE                      in=[]  -> out=['1x3x3x16']  consts=['1x3x3x16']
  41  DEQUANTIZE                      in=[]  -> out=['16']  consts=['16']
  42  DEPTHWISE_CONV_2D               in=['1x64x64x16', '1x3x3x16', '16']  -> out=['1x64x64x16']  consts=[]
  43  DEQUANTIZE                      in=[]  -> out=['32x1x1x16']  consts=['32x1x1x16']
  44  DEQUANTIZE                      in=[]  -> out=['32']  consts=['32']
  45  CONV_2D                         in=['1x64x64x16', '32x1x1x16', '32']  -> out=['1x64x64x32']  consts=[]
  46  PAD                             in=['1x64x64x96']  -> out=['1x68x68x96']  consts=['4x2']
  47  DEQUANTIZE                      in=[]  -> out=['1x5x5x96']  consts=['1x5x5x96']
  48  DEQUANTIZE                      in=[]  -> out=['96']  consts=['96']
  49  DEPTHWISE_CONV_2D               in=['1x68x68x96', '1x5x5x96', '96']  -> out=['1x32x32x96']  consts=[]
  50  DEQUANTIZE                      in=[]  -> out=['24']  consts=['24']
  51  DEQUANTIZE                      in=[]  -> out=['24x1x1x96']  consts=['24x1x1x96']
  52  CONV_2D                         in=['1x32x32x96', '24x1x1x96', '24']  -> out=['1x32x32x24']  consts=[]
  53  DEQUANTIZE                      in=[]  -> out=['144']  consts=['144']
  54  DEQUANTIZE                      in=[]  -> out=['144x1x1x24']  consts=['144x1x1x24']
  55  CONV_2D                         in=['1x32x32x24', '144x1x1x24', '144']  -> out=['1x32x32x144']  consts=[]
  56  DEQUANTIZE                      in=[]  -> out=['1x5x5x144']  consts=['1x5x5x144']
